,asset_id,label,split,fps,frame_count,duration_seconds,frame_height,frame_width,frame_channels,orginal_video_start_second,original_video_end_second,original_video_target_second,target_second,reliable_audio
45,418577,0,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
42,418040,0,train,25.0,258,9.88,1080,1920,3,8.68,18.68,18.0,9.32,1
53,430634,0,train,25.0,477,9.96,1080,1920,3,9.0,19.0,14.0,5.0,1
69,433191,0,train,25.0,266,9.88,1080,1920,3,10.64,20.64,16.0,5.359999999999999,1
89,188890201,0,train,25.0,311,9.84,720,1280,3,28.49,38.49,34.0,5.509999999999998,1
48,430626,0,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
71,440443,0,train,25.0,206,8.12,1080,1920,3,0.0,8.24,6.0,6.0,1
50,430630,0,train,25.0,255,9.96,1080,1920,3,31.0,41.0,36.0,5.0,1
55,430641,0,train,25.0,261,9.96,1080,1920,3,23.0,33.0,28.0,5.0,1
81,483821,0,train,25.0,327,9.96,1080,1920,3,63.0,73.0,68.0,5.0,1
77,473684,0,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
38,417996,0,train,25.0,321,9.96,1080,1920,3,15.0,25.0,20.0,5.0,1
40,418016,0,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
75,473682,0,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
44,418570,0,train,25.0,427,9.96,1080,1920,3,7.0,17.0,12.0,5.0,1
43,418308,0,train,25.0,267,9.96,1080,1920,3,19.0,29.0,24.0,5.0,1
76,473683,0,train,25.0,410,9.88,1080,1920,3,6.399999999999999,16.4,12.0,5.600000000000001,1
47,430618,0,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,1
49,430628,0,train,25.0,327,9.96,1080,1920,3,3.0,13.0,8.0,5.0,1
87,484480,0,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,1
39,417997,0,train,25.0,377,9.96,1080,1920,3,5.0,15.0,10.0,5.0,1
68,431234,0,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
35,405768,0,train,25.0,272,9.96,1080,1920,3,15.0,25.0,20.0,5.0,1
37,411995,0,train,25.0,377,9.96,1080,1920,3,15.0,25.0,20.0,5.0,1
70,440328,0,train,25.0,345,9.88,1080,1920,3,3.8000000000000007,13.8,10.0,6.199999999999999,1
74,473681,0,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
34,404416,0,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,1
88,188572611,0,train,25.0,477,9.96,720,1280,3,79.0,89.0,84.0,5.0,1
86,484399,0,train,25.0,477,9.96,1080,1920,3,9.0,19.0,14.0,5.0,1
80,483326,0,train,25.0,320,9.96,1080,1920,3,35.0,45.0,40.0,5.0,1
78,474744,0,train,25.0,263,9.96,1080,1920,3,111.0,121.0,116.0,5.0,1
85,484031,0,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,1
66,431213,0,train,25.0,346,9.96,1080,1920,3,27.0,37.0,32.0,5.0,1
